===== SIGNATURE SPEED TEST =====
Configuration info
==================
Target platform:  x86_64-Linux-6.14.0-37-generic
Compiler:         gcc (13.3.0)
Compile options:  [-Wa,--noexecstack;-O3;-fomit-frame-pointer;-fdata-sections;-ffunction-sections;-Wl,--gc-sections;-Wbad-function-cast]
OQS version:      0.15.0 (major: 0, minor: 15, patch: 0)
Git commit:       589731b0c947d73b3d6fc72bcd4e3b6e0ec0bf4e
OpenSSL enabled:  Yes (OpenSSL 3.0.13 30 Jan 2024)
AES:              NI
SHA-2:            OpenSSL
SHA-3:            AVX2
OQS build flags:  OQS_DIST_BUILD OQS_LIBJADE_BUILD OQS_OPT_TARGET=generic CMAKE_BUILD_TYPE=Release 
CPU exts active:  ADX AES AVX AVX2 BMI1 BMI2 PCLMULQDQ POPCNT SSE SSE2 SSE3
Speed test
==========
Started at 2025-12-26 10:50:40
Operation                            | Iterations | Total time (s) | Time (us): mean | pop. stdev | CPU cycles: mean          | pop. stdev
verify                               |       2483 |          3.000 |        1208.389 |    439.772 |                   3857069 |    1403712
SPHINCS+-SHAKE-256s-simple           |            |                |                 |            |                           |           
keypair                              |         98 |          3.015 |       30767.816 |    325.004 |                  98210139 |    1037616
sign                                 |          9 |          3.308 |      367569.333 |   1124.628 |                1173273126 |    3589318
verify                               |       4782 |          3.000 |         627.378 |     19.473 |                   2002502 |      62141
MAYO-1                               |            |                |                 |            |                           |           
keypair                              |      53782 |          3.000 |          55.781 |      4.489 |                    177956 |      14274
sign                                 |      17881 |          3.000 |         167.782 |     10.009 |                    535448 |      31910
verify                               |      45759 |          3.000 |          65.562 |      5.797 |                    209207 |      18445
MAYO-2                               |            |                |                 |            |                           |           
keypair                              |      78236 |          3.000 |          38.346 |     15.090 |                    122309 |      48148
sign                                 |      33197 |          3.000 |          90.372 |      6.004 |                    288391 |      19131
verify                               |     125795 |          3.000 |          23.848 |      2.455 |                     76052 |       7679
MAYO-3                               |            |                |                 |            |                           |           
keypair                              |      23064 |          3.000 |         130.075 |      8.352 |                    415046 |      26651
sign                                 |       8644 |          3.000 |         347.093 |     15.072 |                   1107831 |      48096
verify                               |      20204 |          3.000 |         148.486 |      9.841 |                    473861 |      31363
MAYO-5                               |            |                |                 |            |                           |           
keypair                              |       9807 |          3.000 |         305.908 |     17.631 |                    976334 |      56288
sign                                 |       3572 |          3.000 |         839.973 |     27.853 |                   2681041 |      88855
verify                               |       9068 |          3.000 |         330.869 |     12.517 |                   1056000 |      39919
cross-rsdp-128-balanced              |            |                |                 |            |                           |           
keypair                              |     217159 |          3.000 |          13.815 |      1.791 |                     44044 |       5508
sign                                 |       4937 |          3.000 |         607.680 |     20.256 |                   1939539 |      64657
verify                               |       7261 |          3.000 |         413.186 |     15.632 |                   1318792 |      49874
cross-rsdp-128-fast                  |            |                |                 |            |                           |           
keypair                              |     217400 |          3.000 |          13.799 |      1.726 |                     43987 |       5304
sign                                 |       8330 |          3.000 |         360.167 |     23.777 |                   1149534 |      75880
verify                               |      14426 |          3.000 |         207.972 |     12.106 |                    663750 |      38615
cross-rsdp-128-small                 |            |                |                 |            |                           |           
keypair                              |     216717 |          3.000 |          13.843 |      1.821 |                     44137 |       5626
sign                                 |       2396 |          3.000 |        1252.187 |     38.435 |                   3996804 |     122709
verify                               |       3539 |          3.000 |         847.706 |     26.971 |                   2705737 |      86080
cross-rsdp-192-balanced              |            |                |                 |            |                           |           
keypair                              |      79674 |          3.000 |          37.654 |      3.708 |                    120113 |      11772
sign                                 |       2260 |          3.001 |        1328.023 |     44.883 |                   4238868 |     143251
verify                               |       3311 |          3.001 |         906.246 |     41.976 |                   2892604 |     133964
cross-rsdp-192-fast                  |            |                |                 |            |                           |           
keypair                              |      83373 |          3.000 |          35.983 |      3.614 |                    114774 |      11433
sign                                 |       3788 |          3.000 |         792.081 |     27.916 |                   2528150 |      89082
verify                               |       6065 |          3.000 |         494.699 |     20.261 |                   1579001 |      64650
cross-rsdp-192-small                 |            |                |                 |            |                           |           
keypair                              |      83214 |          3.000 |          36.052 |      3.446 |                    114993 |      10891
sign                                 |       1485 |          3.000 |        2020.517 |     52.191 |                   6449268 |     166583
verify                               |       2188 |          3.001 |        1371.407 |     50.039 |                   4377417 |     159708
cross-rsdp-256-balanced              |            |                |                 |            |                           |           
keypair                              |      54671 |          3.000 |          54.874 |      4.629 |                    175098 |      14727
sign                                 |       1276 |          3.000 |        2351.148 |     54.939 |                   7504632 |     175385
verify                               |       2037 |          3.001 |        1473.269 |     42.798 |                   4702557 |     136628
cross-rsdp-256-fast                  |            |                |                 |            |                           |           
keypair                              |      54596 |          3.000 |          54.950 |      4.782 |                    175339 |      15217
sign                                 |       2091 |          3.001 |        1435.265 |     36.988 |                   4581152 |     118053
verify                               |       3390 |          3.000 |         884.969 |     28.372 |                   2824720 |      90564
cross-rsdp-256-small                 |            |                |                 |            |                           |           
keypair                              |      53887 |          3.000 |          55.673 |     15.475 |                    177651 |      49380
sign                                 |        803 |          3.001 |        3737.259 |     79.260 |                  11929082 |     252961
verify                               |       1161 |          3.002 |        2585.307 |     57.070 |                   8252065 |     182213
cross-rsdpg-128-balanced             |            |                |                 |            |                           |           
keypair                              |     339190 |          3.000 |           8.845 |      1.301 |                     28186 |       3914
sign                                 |       7646 |          3.000 |         392.395 |     18.336 |                   1252382 |      58503
verify                               |      11461 |          3.000 |         261.770 |     13.721 |                    835483 |      43781
cross-rsdpg-128-fast                 |            |                |                 |            |                           |           
keypair                              |     340206 |          3.000 |           8.818 |      1.384 |                     28100 |       4171
sign                                 |      14705 |          3.000 |         204.018 |     11.135 |                    651117 |      35504
verify                               |      23040 |          3.000 |         130.213 |     11.707 |                    415567 |      37322
cross-rsdpg-128-small                |            |                |                 |            |                           |           
keypair                              |     368247 |          3.000 |           8.147 |      1.215 |                     25957 |       3789
sign                                 |       3797 |          3.000 |         790.175 |     25.963 |                   2522031 |      82851
verify                               |       5538 |          3.000 |         541.747 |     20.319 |                   1729130 |      64824
cross-rsdpg-192-balanced             |            |                |                 |            |                           |           
keypair                              |     173296 |          3.000 |          17.311 |      1.782 |                     55206 |       5590
sign                                 |       4826 |          3.001 |         621.738 |     30.682 |                   1984405 |      97944
verify                               |       7333 |          3.000 |         409.138 |     14.959 |                   1305862 |      47733
cross-rsdpg-192-fast                 |            |                |                 |            |                           |           
keypair                              |     173286 |          3.000 |          17.312 |      1.872 |                     55207 |       5895
sign                                 |       6746 |          3.000 |         444.738 |     18.621 |                   1419470 |      59409
verify                               |      10113 |          3.000 |         296.658 |     12.454 |                    946849 |      39701
cross-rsdpg-192-small                |            |                |                 |            |                           |           
keypair                              |     194956 |          3.000 |          15.388 |      1.725 |                     49069 |       5357
sign                                 |       2787 |          3.000 |        1076.545 |     30.480 |                   3436141 |      97331
verify                               |       3719 |          3.000 |         806.695 |     45.745 |                   2574823 |     145946
cross-rsdpg-256-balanced             |            |                |                 |            |                           |           
keypair                              |     107394 |          3.000 |          27.935 |      2.935 |                     89108 |       9235
sign                                 |       3232 |          3.001 |         928.522 |     29.605 |                   2963628 |      94482
verify                               |       4660 |          3.000 |         643.800 |     25.334 |                   2054888 |      80852
cross-rsdpg-256-fast                 |            |                |                 |            |                           |           
keypair                              |     108948 |          3.000 |          27.536 |      3.065 |                     87833 |       9718
sign                                 |       3805 |          3.000 |         788.530 |     26.927 |                   2516822 |      85977
verify                               |       5795 |          3.000 |         517.729 |     23.875 |                   1652495 |      76194
cross-rsdpg-256-small                |            |                |                 |            |                           |           
keypair                              |     109457 |          3.000 |          27.408 |      2.961 |                     87430 |       9352
sign                                 |       1647 |          3.002 |        1822.488 |    577.878 |                   5817160 |    1844544
verify                               |       2729 |          3.001 |        1099.698 |     32.909 |                   3510115 |     105047
OV-Is                                |            |                |                 |            |                           |           
keypair                              |       2817 |          3.000 |        1065.079 |     32.462 |                   3399582 |     103603
sign                                 |     107368 |          3.000 |          27.941 |      7.090 |                     89127 |      22607
verify                               |     243466 |          3.000 |          12.322 |      1.668 |                     39258 |       5220
OV-Ip                                |            |                |                 |            |                           |           
keypair                              |       4660 |          3.000 |         643.807 |     37.199 |                   2054884 |     118681
sign                                 |     133029 |          3.000 |          22.552 |      2.812 |                     71915 |       8911
verify                               |     189107 |          3.000 |          15.864 |      1.901 |                     50564 |       5871
OV-III                               |            |                |                 |            |                           |           
keypair                              |        794 |          3.003 |        3781.892 |     91.272 |                  12071574 |     291297
sign                                 |      44659 |          3.000 |          67.176 |      6.945 |                    214338 |      22129
verify                               |      50229 |          3.000 |          59.728 |      4.940 |                    190580 |      15704
OV-V                                 |            |                |                 |            |                           |           
keypair                              |        297 |          3.010 |       10133.599 |    195.639 |                  32345989 |     624510
sign                                 |      23036 |          3.000 |         130.234 |     46.467 |                    415610 |     148302
verify                               |      25758 |          3.000 |         116.470 |      7.949 |                    371693 |      25338
OV-Is-pkc                            |            |                |                 |            |                           |           
keypair                              |       3064 |          3.001 |         979.329 |     31.436 |                   3125901 |     100342
sign                                 |     114613 |          3.000 |          26.175 |      6.649 |                     83467 |      21176
verify                               |      35339 |          3.000 |          84.894 |      6.364 |                    270890 |      20262
OV-Ip-pkc                            |            |                |                 |            |                           |           
keypair                              |       4745 |          3.000 |         632.254 |     22.364 |                   2018005 |      71400
sign                                 |     131502 |          3.000 |          22.813 |      2.776 |                     72716 |       8739
verify                               |      45773 |          3.000 |          65.541 |      5.510 |                    209126 |      17513
OV-III-pkc                           |            |                |                 |            |                           |           
keypair                              |        834 |          3.003 |        3600.180 |    882.826 |                  11491527 |    2817913
sign                                 |      47660 |          3.000 |          62.946 |      5.995 |                    200840 |      19099
verify                               |      10833 |          3.000 |         276.938 |     13.853 |                    883868 |      44178
OV-V-pkc                             |            |                |                 |            |                           |           
keypair                              |        327 |          3.007 |        9196.532 |    150.686 |                  29354952 |     480983
sign                                 |      24883 |          3.000 |         120.568 |     10.543 |                    384753 |      33612
verify                               |       4784 |          3.001 |         627.218 |     34.011 |                   2001928 |     108517
OV-Is-pkc-skc                        |            |                |                 |            |                           |           
keypair                              |       2968 |          3.000 |        1010.874 |     28.166 |                   3226562 |      89857
sign                                 |       4669 |          3.000 |         642.567 |     22.216 |                   2050953 |      70892
verify                               |      35548 |          3.000 |          84.393 |      6.152 |                    269294 |      19601
OV-Ip-pkc-skc                        |            |                |                 |            |                           |           
keypair                              |       4634 |          3.000 |         647.407 |     21.628 |                   2066372 |      69052
sign                                 |       6818 |          3.000 |         440.023 |     18.276 |                   1404434 |      58324
verify                               |      45808 |          3.000 |          65.491 |      5.517 |                    208965 |      17523
OV-III-pkc-skc                       |            |                |                 |            |                           |           
keypair                              |        834 |          3.003 |        3600.504 |    141.761 |                  11492590 |     452479
sign                                 |       1367 |          3.000 |        2194.940 |     53.949 |                   7006074 |     172221
verify                               |      10851 |          3.000 |         276.480 |     14.147 |                    882422 |      45120
OV-V-pkc-skc                         |            |                |                 |            |                           |           
keypair                              |        318 |          3.009 |        9462.336 |    162.262 |                  30203349 |     517922
sign                                 |        603 |          3.002 |        4978.892 |     84.900 |                  15892349 |     271013
verify                               |       4888 |          3.001 |         613.861 |     23.483 |                   1959289 |      74943
SNOVA_24_5_4                         |            |                |                 |            |                           |           
keypair                              |      39720 |          3.000 |          75.529 |      5.741 |                    240944 |      18271
sign                                 |       8599 |          3.000 |         348.890 |     77.823 |                   1113541 |     248407
verify                               |      44658 |          3.000 |          67.178 |      5.307 |                    214296 |      16887
SNOVA_24_5_4_SHAKE                   |            |                |                 |            |                           |           
keypair                              |      28766 |          3.000 |         104.293 |      7.173 |                    332763 |      22866
sign                                 |       8009 |          3.000 |         374.588 |     75.572 |                   1195567 |     241226
verify                               |      31353 |          3.000 |          95.686 |      7.006 |                    305260 |      22310
SNOVA_24_5_4_esk                     |            |                |                 |            |                           |           
keypair                              |      38993 |          3.000 |          76.937 |      5.911 |                    245422 |      18819
sign                                 |      10474 |          3.000 |         286.433 |     73.167 |                    914182 |     233551
verify                               |      44512 |          3.000 |          67.399 |      5.475 |                    214988 |      17412
SNOVA_24_5_4_SHAKE_esk               |            |                |                 |            |                           |           
keypair                              |      28311 |          3.000 |         105.968 |      7.665 |                    338110 |      24436
sign                                 |      10479 |          3.000 |         286.317 |     73.829 |                    913809 |     235660
verify                               |      31270 |          3.000 |          95.940 |      6.469 |                    306063 |      20605
SNOVA_37_17_2                        |            |                |                 |            |                           |           
keypair                              |      12638 |          3.000 |         237.382 |     10.623 |                    757581 |      33917
sign                                 |      10264 |          3.000 |         292.298 |     33.511 |                    932886 |     106956
verify                               |      55036 |          3.000 |          54.511 |     18.189 |                    173894 |      57855
SNOVA_25_8_3                         |            |                |                 |            |                           |           
keypair                              |      32208 |          3.000 |          93.147 |      7.346 |                    297217 |      23366
sign                                 |      11800 |          3.000 |         254.243 |     46.946 |                    811439 |     149855
verify                               |      49565 |          3.000 |          60.527 |      5.228 |                    193081 |      16618
