===== SIGNATURE SPEED TEST =====
Configuration info
==================
Target platform:  x86_64-Linux-6.14.0-37-generic
Compiler:         gcc (13.3.0)
Compile options:  [-Wa,--noexecstack;-O3;-fomit-frame-pointer;-fdata-sections;-ffunction-sections;-Wl,--gc-sections;-Wbad-function-cast]
OQS version:      0.15.0 (major: 0, minor: 15, patch: 0)
Git commit:       589731b0c947d73b3d6fc72bcd4e3b6e0ec0bf4e
OpenSSL enabled:  Yes (OpenSSL 3.0.13 30 Jan 2024)
AES:              NI
SHA-2:            OpenSSL
SHA-3:            AVX2
OQS build flags:  OQS_DIST_BUILD OQS_LIBJADE_BUILD OQS_OPT_TARGET=generic CMAKE_BUILD_TYPE=Release 
CPU exts active:  ADX AES AVX AVX2 BMI1 BMI2 PCLMULQDQ POPCNT SSE SSE2 SSE3
Speed test
==========
Started at 2025-12-26 10:50:40
Operation                            | Iterations | Total time (s) | Time (us): mean | pop. stdev | CPU cycles: mean          | pop. stdev
keypair                              |        433 |          3.006 |        6941.420 |    268.906 |                  22156716 |     858276
sign                                 |         22 |          3.116 |      141629.227 |   1803.251 |                 452076148 |    5756004
verify                               |        818 |          3.003 |        3671.306 |     74.914 |                  11718626 |     239184
SLH_DSA_SHA2_224_PREHASH_SHA2_128S   |            |                |                 |            |                           |           
keypair                              |         47 |          3.019 |       64243.872 |    914.200 |                 205064379 |    2918091
sign                                 |          7 |          3.444 |      492034.000 |   5867.303 |                1570557565 |   18727892
verify                               |       5907 |          3.000 |         507.944 |     21.041 |                   1621293 |      67145
SLH_DSA_SHA2_224_PREHASH_SHA2_128F   |            |                |                 |            |                           |           
keypair                              |       3000 |          3.001 |        1000.246 |     29.752 |                   3192694 |      94963
sign                                 |        127 |          3.012 |       23717.134 |   2529.054 |                  75704279 |    8072869
verify                               |       2110 |          3.001 |        1422.382 |     41.867 |                   4540128 |     133645
SLH_DSA_SHA2_224_PREHASH_SHA2_192S   |            |                |                 |            |                           |           
keypair                              |         33 |          3.067 |       92946.455 |    916.863 |                 296682087 |    2926589
sign                                 |          4 |          3.484 |      871057.500 |   2651.888 |                2780389164 |    8464736
verify                               |       4131 |          3.000 |         726.219 |     29.085 |                   2318009 |      92822
SLH_DSA_SHA2_224_PREHASH_SHA2_192F   |            |                |                 |            |                           |           
keypair                              |       2052 |          3.000 |        1462.136 |     46.329 |                   4667024 |     147917
sign                                 |         78 |          3.018 |       38698.026 |    490.770 |                 123522725 |    1566662
verify                               |       1431 |          3.001 |        2097.483 |     51.380 |                   6695051 |     163968
SLH_DSA_SHA2_224_PREHASH_SHA2_256S   |            |                |                 |            |                           |           
keypair                              |         50 |          3.060 |       61199.220 |   2904.450 |                 195345924 |    9270466
sign                                 |          4 |          3.094 |      773382.250 |    809.987 |                2468612078 |    2586699
verify                               |       2854 |          3.001 |        1051.376 |     29.914 |                   3355921 |      95452
SLH_DSA_SHA2_224_PREHASH_SHA2_256F   |            |                |                 |            |                           |           
keypair                              |        791 |          3.003 |        3796.503 |     75.444 |                  12118234 |     240871
sign                                 |         38 |          3.016 |       79377.974 |   1214.929 |                 253371906 |    3878309
verify                               |       1440 |          3.002 |        2084.617 |     57.432 |                   6653969 |     183309
SLH_DSA_SHA2_224_PREHASH_SHAKE_128S  |            |                |                 |            |                           |           
keypair                              |         27 |          3.064 |      113477.556 |   1174.845 |                 362216863 |    3750052
sign                                 |          4 |          3.480 |      869879.750 |   1469.980 |                2776629866 |    4692016
verify                               |       3716 |          3.000 |         807.376 |     26.586 |                   2577061 |      84823
SLH_DSA_SHA2_224_PREHASH_SHAKE_128F  |            |                |                 |            |                           |           
keypair                              |       1676 |          3.001 |        1790.464 |     78.654 |                   5715018 |     251038
sign                                 |         72 |          3.002 |       41688.694 |    393.007 |                 133068907 |    1254498
verify                               |       1254 |          3.001 |        2393.325 |     56.999 |                   7639340 |     181926
SLH_DSA_SHA2_224_PREHASH_SHAKE_192S  |            |                |                 |            |                           |           
keypair                              |         19 |          3.150 |      165814.211 |    798.558 |                 529273954 |    2549255
sign                                 |          2 |          3.077 |     1538622.000 |    636.000 |                 616267602 |    2029638
verify                               |       2392 |          3.000 |        1254.261 |     37.309 |                   4003516 |     119053
SLH_DSA_SHA2_224_PREHASH_SHAKE_192F  |            |                |                 |            |                           |           
keypair                              |       1150 |          3.000 |        2608.902 |     61.511 |                   8327467 |     196301
sign                                 |         44 |          3.061 |       69573.068 |   8464.113 |                 222075033 |   27017469
verify                               |        830 |          3.001 |        3615.283 |     70.229 |                  11539806 |     224185
SLH_DSA_SHA2_224_PREHASH_SHAKE_256S  |            |                |                 |            |                           |           
keypair                              |         28 |          3.075 |      109807.429 |    863.346 |                 350502227 |    2755857
sign                                 |          3 |          4.149 |     1382918.667 |    841.405 |                 119266977 |    2685299
verify                               |       1655 |          3.001 |        1813.027 |     65.805 |                   5787073 |     210040
SLH_DSA_SHA2_224_PREHASH_SHAKE_256F  |            |                |                 |            |                           |           
keypair                              |        436 |          3.001 |        6882.291 |    129.352 |                  21967943 |     412883
sign                                 |         22 |          3.112 |      141461.136 |   1162.463 |                 451539461 |    3710120
verify                               |        836 |          3.003 |        3591.539 |     74.110 |                  11464014 |     236576
SLH_DSA_SHA2_256_PREHASH_SHA2_128S   |            |                |                 |            |                           |           
keypair                              |         47 |          3.010 |       64042.085 |    883.301 |                 204420288 |    2819715
sign                                 |          7 |          3.408 |      486787.857 |    886.157 |                1553812024 |    2829223
verify                               |       6456 |          3.000 |         464.748 |     18.692 |                   1483411 |      59631
SLH_DSA_SHA2_256_PREHASH_SHA2_128F   |            |                |                 |            |                           |           
keypair                              |       3003 |          3.001 |         999.294 |     32.035 |                   3189660 |     102237
sign                                 |        124 |          3.009 |       24263.516 |   3837.734 |                  77448195 |   12249956
verify                               |       2079 |          3.000 |        1443.140 |     44.650 |                   4606393 |     142441
SLH_DSA_SHA2_256_PREHASH_SHA2_192S   |            |                |                 |            |                           |           
keypair                              |         33 |          3.070 |       93044.576 |   1094.488 |                 296995302 |    3493444
sign                                 |          4 |          3.485 |      871296.000 |   1280.296 |                2781149470 |    4085647
verify                               |       4395 |          3.000 |         682.637 |     24.188 |                   2178911 |      77167
SLH_DSA_SHA2_256_PREHASH_SHA2_192F   |            |                |                 |            |                           |           
keypair                              |       2064 |          3.000 |        1453.626 |     40.435 |                   4639876 |     129068
sign                                 |         78 |          3.012 |       38615.833 |    435.802 |                 123260509 |    1391089
verify                               |       1429 |          3.001 |        2100.035 |    278.113 |                   6703195 |     887694
SLH_DSA_SHA2_256_PREHASH_SHA2_256S   |            |                |                 |            |                           |           
keypair                              |         49 |          3.001 |       61238.776 |   1168.162 |                 195472100 |    3728691
sign                                 |          4 |          3.092 |      773058.500 |   1632.778 |                2467578300 |    5211481
verify                               |       2769 |          3.001 |        1083.675 |     32.843 |                   3458991 |     104823
SLH_DSA_SHA2_256_PREHASH_SHA2_256F   |            |                |                 |            |                           |           
keypair                              |        788 |          3.001 |        3808.970 |     91.040 |                  12158040 |     290600
sign                                 |         38 |          3.035 |       79862.500 |   5172.856 |                 254918401 |   16511220
verify                               |       1443 |          3.000 |        2079.288 |     50.649 |                   6636966 |     161653
SLH_DSA_SHA2_256_PREHASH_SHAKE_128S  |            |                |                 |            |                           |           
keypair                              |         27 |          3.061 |      113379.963 |    787.666 |                 361905219 |    2513882
sign                                 |          4 |          3.484 |      871017.000 |   2644.728 |                2780259657 |    8441912
verify                               |       3318 |          3.001 |         904.348 |     31.475 |                   2886585 |     100468
SLH_DSA_SHA2_256_PREHASH_SHAKE_128F  |            |                |                 |            |                           |           
keypair                              |       1697 |          3.001 |        1768.555 |     43.246 |                   5645124 |     138061
sign                                 |         72 |          3.005 |       41733.347 |    485.471 |                 133211408 |    1549663
verify                               |       1204 |          3.002 |        2493.441 |    646.411 |                   7958915 |    2063324
SLH_DSA_SHA2_256_PREHASH_SHAKE_192S  |            |                |                 |            |                           |           
keypair                              |         19 |          3.150 |      165791.211 |    883.291 |                 529200491 |    2819505
sign                                 |          2 |          3.069 |     1534468.000 |   1089.000 |                 603005834 |    3475290
verify                               |       2423 |          3.001 |        1238.402 |     35.218 |                   3952887 |     112427
SLH_DSA_SHA2_256_PREHASH_SHAKE_192F  |            |                |                 |            |                           |           
keypair                              |       1158 |          3.000 |        2590.914 |     58.557 |                   8270061 |     186876
sign                                 |         44 |          3.016 |       68548.545 |    784.545 |                 218804758 |    2504397
verify                               |        850 |          3.001 |        3530.496 |     74.251 |                  11269198 |     237028
SLH_DSA_SHA2_256_PREHASH_SHAKE_256S  |            |                |                 |            |                           |           
keypair                              |         28 |          3.101 |      110740.607 |    899.303 |                 353480525 |    2870411
sign                                 |          3 |          4.181 |     1393708.667 |  30302.430 |                 153707693 |   96724446
verify                               |       1636 |          3.000 |        1833.823 |     47.541 |                   5853449 |     151739
SLH_DSA_SHA2_256_PREHASH_SHAKE_256F  |            |                |                 |            |                           |           
keypair                              |        437 |          3.000 |        6865.730 |    125.896 |                  21915125 |     401818
sign                                 |         22 |          3.104 |      141078.364 |    732.770 |                 450317569 |    2339029
verify                               |        822 |          3.001 |        3650.881 |    127.089 |                  11653455 |     405639
SLH_DSA_SHA2_384_PREHASH_SHA2_128S   |            |                |                 |            |                           |           
keypair                              |         47 |          3.004 |       63923.298 |    527.729 |                 204040976 |    1684654
sign                                 |          7 |          3.416 |      487986.571 |   1155.071 |                1557637718 |    3686057
verify                               |       5952 |          3.000 |         504.102 |     20.425 |                   1609027 |      65173
SLH_DSA_SHA2_384_PREHASH_SHA2_128F   |            |                |                 |            |                           |           
keypair                              |       2994 |          3.000 |        1002.075 |     32.066 |                   3198533 |     102350
sign                                 |        129 |          3.014 |       23365.690 |    294.355 |                  74582476 |     939768
verify                               |       2066 |          3.001 |        1452.357 |     40.316 |                   4635819 |     128674
SLH_DSA_SHA2_384_PREHASH_SHA2_192S   |            |                |                 |            |                           |           
keypair                              |         32 |          3.022 |       94435.469 |   5773.855 |                 301434867 |   18430022
sign                                 |          4 |          3.473 |      868345.250 |   3038.347 |                2771731179 |    9698736
verify                               |       4175 |          3.000 |         718.677 |     25.043 |                   2293929 |      79880
SLH_DSA_SHA2_384_PREHASH_SHA2_192F   |            |                |                 |            |                           |           
keypair                              |       2071 |          3.000 |        1448.720 |     38.251 |                   4624218 |     122028
sign                                 |         78 |          3.014 |       38646.474 |    838.063 |                 123358191 |    2675316
verify                               |       1459 |          3.001 |        2056.824 |     52.048 |                   6565250 |     166144
SLH_DSA_SHA2_384_PREHASH_SHA2_256S   |            |                |                 |            |                           |           
keypair                              |         49 |          3.009 |       61399.980 |    927.735 |                 195986714 |    2961445
sign                                 |          4 |          3.092 |      773100.500 |   1046.238 |                2467711883 |    3339547
verify                               |       2951 |          3.001 |        1016.800 |     38.993 |                   3245532 |     124472
SLH_DSA_SHA2_384_PREHASH_SHA2_256F   |            |                |                 |            |                           |           
keypair                              |        783 |          3.003 |        3835.317 |    290.341 |                  12242114 |     926748
sign                                 |         39 |          3.065 |       78602.462 |    705.061 |                 250896465 |    2250655
verify                               |       1435 |          3.002 |        2091.822 |    395.444 |                   6676991 |    1262235
SLH_DSA_SHA2_384_PREHASH_SHAKE_128S  |            |                |                 |            |                           |           
keypair                              |         27 |          3.059 |      113303.556 |   1120.477 |                 361661451 |    3576691
sign                                 |          4 |          3.484 |      870895.250 |   1311.052 |                2779870300 |    4186003
verify                               |       3232 |          3.000 |         928.369 |     27.026 |                   2963274 |      86278
SLH_DSA_SHA2_384_PREHASH_SHAKE_128F  |            |                |                 |            |                           |           
keypair                              |       1697 |          3.000 |        1767.945 |     40.210 |                   5643157 |     128363
sign                                 |         73 |          3.033 |       41551.726 |    389.414 |                 132631640 |    1242898
verify                               |       1194 |          3.000 |        2512.825 |     62.517 |                   8020785 |     199516
SLH_DSA_SHA2_384_PREHASH_SHAKE_192S  |            |                |                 |            |                           |           
keypair                              |         19 |          3.147 |      165628.579 |    839.014 |                 528681081 |    2677900
sign                                 |          2 |          3.072 |     1536243.000 |   3927.000 |                 608671810 |   12532617
verify                               |       2332 |          3.001 |        1286.738 |    368.902 |                   4107182 |    1177520
SLH_DSA_SHA2_384_PREHASH_SHAKE_192F  |            |                |                 |            |                           |           
keypair                              |       1158 |          3.002 |        2592.016 |     53.728 |                   8273540 |     171515
sign                                 |         45 |          3.061 |       68025.111 |    353.576 |                 217133748 |    1128782
verify                               |        822 |          3.001 |        3651.091 |     78.459 |                  11654110 |     250446
SLH_DSA_SHA2_384_PREHASH_SHAKE_256S  |            |                |                 |            |                           |           
keypair                              |         27 |          3.003 |      111232.852 |    930.531 |                 355051601 |    2969950
sign                                 |          3 |          4.153 |     1384174.667 |   1068.613 |                 123274418 |    3409698
verify                               |       1647 |          3.001 |        1821.914 |     46.247 |                   5815435 |     147633
SLH_DSA_SHA2_384_PREHASH_SHAKE_256F  |            |                |                 |            |                           |           
keypair                              |        427 |          3.002 |        7030.103 |   1447.363 |                  22439717 |    4619902
sign                                 |         22 |          3.097 |      140756.955 |    776.709 |                 449291465 |    2478871
verify                               |        784 |          3.003 |        3830.236 |     64.190 |                  12225918 |     204867
SLH_DSA_SHA2_512_PREHASH_SHA2_128S   |            |                |                 |            |                           |           
keypair                              |         48 |          3.046 |       63455.875 |    500.462 |                 202548843 |    1597491
sign                                 |          7 |          3.409 |      486966.714 |   1539.742 |                1554382281 |    4915558
verify                               |       6014 |          3.000 |         498.848 |     25.007 |                   1592249 |      79805
SLH_DSA_SHA2_512_PREHASH_SHA2_128F   |            |                |                 |            |                           |           
keypair                              |       3007 |          3.000 |         997.730 |     29.333 |                   3184659 |      93602
sign                                 |        129 |          3.014 |       23362.837 |    276.005 |                  74573278 |     880997
verify                               |       2026 |          3.001 |        1481.357 |     40.277 |                   4728387 |     128564
SLH_DSA_SHA2_512_PREHASH_SHA2_192S   |            |                |                 |            |                           |           
keypair                              |         33 |          3.064 |       92846.273 |   1248.259 |                 296362069 |    3984481
sign                                 |          4 |          3.475 |      868843.000 |    567.594 |                2773318764 |    1813154
verify                               |       4106 |          3.000 |         730.651 |     26.344 |                   2332159 |      84029
SLH_DSA_SHA2_512_PREHASH_SHA2_192F   |            |                |                 |            |                           |           
keypair                              |       2030 |          3.001 |        1478.490 |    408.452 |                   4719269 |    1303711
sign                                 |         78 |          3.003 |       38497.551 |    419.588 |                 122882798 |    1339134
verify                               |       1452 |          3.001 |        2066.903 |     66.327 |                   6597434 |     211713
SLH_DSA_SHA2_512_PREHASH_SHA2_256S   |            |                |                 |            |                           |           
keypair                              |         50 |          3.031 |       60624.160 |    466.282 |                 193510227 |    1488354
sign                                 |          4 |          3.075 |      768711.250 |   1731.189 |                2453701501 |    5527143
verify                               |       2934 |          3.001 |        1022.733 |     33.747 |                   3264472 |     107724
SLH_DSA_SHA2_512_PREHASH_SHA2_256F   |            |                |                 |            |                           |           
keypair                              |        790 |          3.001 |        3799.057 |     81.498 |                  12126424 |     260118
sign                                 |         39 |          3.073 |       78805.590 |    782.751 |                 251544803 |    2498878
verify                               |       1426 |          3.001 |        2104.492 |     53.882 |                   6717414 |     171982
SLH_DSA_SHA2_512_PREHASH_SHAKE_128S  |            |                |                 |            |                           |           
keypair                              |         26 |          3.022 |      116221.423 |   8236.376 |                 370974835 |   26290124
sign                                 |          4 |          3.466 |      866448.750 |   2485.177 |                2765676809 |    7932492
verify                               |       3645 |          3.001 |         823.214 |     25.572 |                   2627614 |      81614
SLH_DSA_SHA2_512_PREHASH_SHAKE_128F  |            |                |                 |            |                           |           
keypair                              |       1692 |          3.000 |        1773.078 |     47.598 |                   5659536 |     151923
sign                                 |         72 |          3.000 |       41669.583 |    457.110 |                 133007900 |    1459118
verify                               |       1203 |          3.002 |        2495.562 |     50.828 |                   7965713 |     162244
SLH_DSA_SHA2_512_PREHASH_SHAKE_192S  |            |                |                 |            |                           |           
keypair                              |         19 |          3.145 |      165525.158 |    753.826 |                 528350846 |    2406194
sign                                 |          2 |          3.081 |     1540747.000 |   3092.000 |                 623048606 |    9868530
verify                               |       2424 |          3.001 |        1237.843 |     34.190 |                   3951108 |     109132
SLH_DSA_SHA2_512_PREHASH_SHAKE_192F  |            |                |                 |            |                           |           
keypair                              |       1161 |          3.000 |        2584.372 |     51.022 |                   8249164 |     162817
sign                                 |         45 |          3.061 |       68029.867 |    478.065 |                 217149027 |    1526238
verify                               |        825 |          3.000 |        3636.941 |    862.539 |                  11608917 |    2753154
SLH_DSA_SHA2_512_PREHASH_SHAKE_256S  |            |                |                 |            |                           |           
keypair                              |         28 |          3.067 |      109521.607 |    573.124 |                 349589336 |    1829299
sign                                 |          3 |          4.109 |     1369614.000 |    664.360 |                  76796068 |    2121717
verify                               |       1649 |          3.001 |        1819.697 |     43.515 |                   5808372 |     138872
SLH_DSA_SHA2_512_PREHASH_SHAKE_256F  |            |                |                 |            |                           |           
keypair                              |        439 |          3.003 |        6840.986 |    110.683 |                  21836084 |     353227
sign                                 |         22 |          3.096 |      140714.273 |    554.323 |                 449155264 |    1769609
verify                               |        841 |          3.003 |        3570.842 |     76.377 |                  11397954 |     243811
SLH_DSA_SHA2_512_224_PREHASH_SHA2_128S |            |                |                 |            |                           |           
keypair                              |         47 |          3.011 |       64066.021 |   3445.649 |                 204496439 |   10998560
sign                                 |          7 |          3.434 |      490536.143 |  13497.520 |                1565775712 |   43084116
verify                               |       6700 |          3.000 |         447.777 |     18.193 |                   1429230 |      57977
SLH_DSA_SHA2_512_224_PREHASH_SHA2_128F |            |                |                 |            |                           |           
keypair                              |       3014 |          3.000 |         995.381 |     28.196 |                   3177178 |      89972
sign                                 |        129 |          3.014 |       23362.132 |    332.542 |                  74571067 |    1061549
verify                               |       2179 |          3.001 |        1377.035 |     52.843 |                   4395381 |     168669
SLH_DSA_SHA2_512_224_PREHASH_SHA2_192S |            |                |                 |            |                           |           
keypair                              |         33 |          3.052 |       92490.697 |    570.493 |                 295227090 |    1820785
sign                                 |          4 |          3.478 |      869613.750 |   5188.316 |                2775778935 |   16561903
verify                               |       4091 |          3.000 |         733.410 |     23.678 |                   2340965 |      75570
SLH_DSA_SHA2_512_224_PREHASH_SHA2_192F |            |                |                 |            |                           |           
keypair                              |       2064 |          3.000 |        1453.609 |     39.939 |                   4639776 |     127459
sign                                 |         79 |          3.028 |       38326.127 |    319.357 |                 122335585 |    1019098
verify                               |       1456 |          3.001 |        2061.330 |     48.147 |                   6579627 |     153699
SLH_DSA_SHA2_512_224_PREHASH_SHA2_256S |            |                |                 |            |                           |           
keypair                              |         49 |          3.035 |       61946.571 |   6881.479 |                 197729297 |   21951415
sign                                 |          4 |          3.079 |      769824.500 |    708.738 |                2457254495 |    2261495
verify                               |       2846 |          3.001 |        1054.446 |     51.843 |                   3365704 |     165454
SLH_DSA_SHA2_512_224_PREHASH_SHA2_256F |            |                |                 |            |                           |           
keypair                              |        789 |          3.000 |        3802.556 |    110.153 |                  12137568 |     351609
sign                                 |         39 |          3.057 |       78392.205 |    368.137 |                 250225203 |    1175134
verify                               |       1455 |          3.002 |        2063.144 |     54.399 |                   6585430 |     173596
SLH_DSA_SHA2_512_224_PREHASH_SHAKE_128S |            |                |                 |            |                           |           
keypair                              |         27 |          3.093 |      114559.222 |   2578.336 |                 365669442 |    8229905
sign                                 |          4 |          3.520 |      879948.250 |  14159.137 |                2808765874 |   45196630
verify                               |       3459 |          3.000 |         867.377 |     40.463 |                   2768571 |     129135
SLH_DSA_SHA2_512_224_PREHASH_SHAKE_128F |            |                |                 |            |                           |           
keypair                              |       1594 |          3.001 |        1882.438 |    187.036 |                   6008550 |     596890
sign                                 |         69 |          3.027 |       43876.203 |   1830.748 |                 140050694 |    5842817
verify                               |       1149 |          3.001 |        2612.077 |    161.360 |                   8337381 |     514030
SLH_DSA_SHA2_512_224_PREHASH_SHAKE_192S |            |                |                 |            |                           |           
keypair                              |         18 |          3.141 |      174485.333 |   4670.901 |                 556951284 |   14909325
sign                                 |          2 |          3.244 |     1621910.500 |   4961.500 |                 882116796 |   15837104
verify                               |       2320 |          3.000 |        1293.213 |    117.624 |                   4127779 |     375329
SLH_DSA_SHA2_512_224_PREHASH_SHAKE_192F |            |                |                 |            |                           |           
keypair                              |       1148 |          3.003 |        2615.449 |     81.637 |                   8348346 |     260577
sign                                 |         44 |          3.021 |       68651.023 |   1060.102 |                 219131514 |    3383926
verify                               |        852 |          3.002 |        3523.214 |     92.263 |                  11245891 |     294509
SLH_DSA_SHA2_512_224_PREHASH_SHAKE_256S |            |                |                 |            |                           |           
keypair                              |         28 |          3.066 |      109489.786 |    485.839 |                 349487786 |    1551092
sign                                 |          3 |          4.263 |     1421118.667 |  12698.455 |                 241198364 |   40533869
verify                               |       1541 |          3.001 |        1947.292 |    119.103 |                   6215563 |     380008
SLH_DSA_SHA2_512_224_PREHASH_SHAKE_256F |            |                |                 |            |                           |           
keypair                              |        417 |          3.006 |        7207.942 |    423.118 |                  23007405 |    1350371
sign                                 |         21 |          3.073 |      146321.857 |   3542.349 |                 467053989 |   11306572
verify                               |        784 |          3.001 |        3827.305 |    211.996 |                  12216503 |     676443
SLH_DSA_SHA2_512_256_PREHASH_SHA2_128S |            |                |                 |            |                           |           
keypair                              |         46 |          3.049 |       66281.500 |   1934.128 |                 211568188 |    6173468
sign                                 |          6 |          3.041 |      506797.333 |   9382.727 |                1617680720 |   29948852
verify                               |       6151 |          3.000 |         487.793 |     25.324 |                   1556965 |      80816
SLH_DSA_SHA2_512_256_PREHASH_SHA2_128F |            |                |                 |            |                           |           
keypair                              |       2981 |          3.001 |        1006.704 |     35.434 |                   3213309 |     113057
sign                                 |        129 |          3.020 |       23407.093 |    269.138 |                  74714587 |     858936
verify                               |       2066 |          3.000 |        1452.288 |     38.987 |                   4635585 |     124397
SLH_DSA_SHA2_512_256_PREHASH_SHA2_192S |            |                |                 |            |                           |           
keypair                              |         33 |          3.056 |       92601.576 |    566.904 |                 295580989 |    1809736
sign                                 |          4 |          3.589 |      897209.250 |  16044.860 |                2863862047 |   51214056
verify                               |       4016 |          3.001 |         747.139 |     42.188 |                   2384696 |     134587
SLH_DSA_SHA2_512_256_PREHASH_SHA2_192F |            |                |                 |            |                           |           
keypair                              |       1983 |          3.000 |        1512.948 |     64.817 |                   4829150 |     206798
sign                                 |         77 |          3.018 |       39195.182 |   1025.685 |                 125109436 |    3273670
verify                               |       1405 |          3.002 |        2136.445 |     98.331 |                   6819307 |     313697
SLH_DSA_SHA2_512_256_PREHASH_SHA2_256S |            |                |                 |            |                           |           
keypair                              |         47 |          3.006 |       63965.936 |   1755.279 |                 204176562 |    5602892
sign                                 |          4 |          3.148 |      786999.000 |  13485.254 |                2512074414 |   43044424
verify                               |       2816 |          3.000 |        1065.369 |     32.400 |                   3400558 |     103405
SLH_DSA_SHA2_512_256_PREHASH_SHA2_256F |            |                |                 |            |                           |           
keypair                              |        790 |          3.002 |        3799.908 |     75.404 |                  12129145 |     240709
sign                                 |         39 |          3.068 |       78672.872 |    636.146 |                 251120926 |    2030624
verify                               |       1449 |          3.001 |        2071.070 |     41.921 |                   6610722 |     133784
SLH_DSA_SHA2_512_256_PREHASH_SHAKE_128S |            |                |                 |            |                           |           
keypair                              |         27 |          3.050 |      112957.926 |    503.972 |                 360557627 |    1608744
sign                                 |          4 |          3.476 |      868928.750 |    781.360 |                2773591681 |    2493726
verify                               |       3536 |          3.001 |         848.610 |     61.832 |                   2708660 |     197308
SLH_DSA_SHA2_512_256_PREHASH_SHAKE_128F |            |                |                 |            |                           |           
keypair                              |       1612 |          3.000 |        1861.334 |    122.377 |                   5941159 |     390349
sign                                 |         70 |          3.041 |       43438.657 |   1368.248 |                 138654459 |    4367189
verify                               |       1138 |          3.001 |        2636.788 |    152.370 |                   8416272 |     485981
SLH_DSA_SHA2_512_256_PREHASH_SHAKE_192S |            |                |                 |            |                           |           
keypair                              |         17 |          3.019 |      177599.118 |   3481.344 |                 566889607 |   11111828
sign                                 |          2 |          3.288 |     1643751.000 |   3483.000 |                 951831326 |   11117090
verify                               |       2196 |          3.000 |        1366.265 |     76.336 |                   4360910 |     243507
SLH_DSA_SHA2_512_256_PREHASH_SHAKE_192F |            |                |                 |            |                           |           
keypair                              |       1088 |          3.002 |        2759.114 |    115.513 |                   8806803 |     368437
sign                                 |         42 |          3.029 |       72115.881 |   2491.917 |                 230191172 |    7954058
verify                               |        785 |          3.003 |        3825.662 |    157.866 |                  12211189 |     503718
SLH_DSA_SHA2_512_256_PREHASH_SHAKE_256S |            |                |                 |            |                           |           
keypair                              |         26 |          3.061 |      117739.462 |   1894.792 |                 375819699 |    6047922
sign                                 |          3 |          4.426 |     1475311.000 |   6728.763 |                 414175610 |   21477282
verify                               |       1577 |          3.002 |        1903.375 |     70.862 |                   6075390 |     226104
SLH_DSA_SHA2_512_256_PREHASH_SHAKE_256F |            |                |                 |            |                           |           
keypair                              |        413 |          3.004 |        7273.949 |    340.029 |                  23217818 |    1085080
sign                                 |         21 |          3.068 |      146074.571 |   4479.603 |                 466264733 |   14298156
verify                               |        780 |          3.001 |        3847.540 |    177.345 |                  12280930 |     565624
SLH_DSA_SHA3_224_PREHASH_SHA2_128S   |            |                |                 |            |                           |           
keypair                              |         45 |          3.019 |       67091.444 |   1891.827 |                 214152926 |    6038204
sign                                 |          6 |          3.065 |      510866.833 |  12590.790 |                1630669109 |   40189237
verify                               |       6018 |          3.000 |         498.582 |     27.710 |                   1591393 |      88423
SLH_DSA_SHA3_224_PREHASH_SHA2_128F   |            |                |                 |            |                           |           
keypair                              |       2980 |          3.000 |        1006.822 |     38.350 |                   3213678 |     122359
sign                                 |        128 |          3.009 |       23508.680 |    425.063 |                  75038756 |    1356744
verify                               |       2151 |          3.001 |        1394.941 |     53.630 |                   4452532 |     171115
SLH_DSA_SHA3_224_PREHASH_SHA2_192S   |            |                |                 |            |                           |           
keypair                              |         31 |          3.006 |       96974.323 |   3204.223 |                 309538161 |   10227269
sign                                 |          4 |          3.615 |      903734.500 |  24646.380 |                2884690745 |   78669221
verify                               |       3969 |          3.000 |         755.931 |     51.588 |                   2412772 |     164549
SLH_DSA_SHA3_224_PREHASH_SHA2_192F   |            |                |                 |            |                           |           
keypair                              |       1951 |          3.001 |        1538.277 |     79.119 |                   4909954 |     252405
sign                                 |         73 |          3.004 |       41154.616 |   2111.234 |                 131363426 |    6738426
verify                               |       1369 |          3.001 |        2191.817 |    101.769 |                   6996053 |     324674
SLH_DSA_SHA3_224_PREHASH_SHA2_256S   |            |                |                 |            |                           |           
keypair                              |         47 |          3.036 |       64592.106 |   1891.553 |                 206175347 |    6037690
sign                                 |          4 |          3.294 |      823460.500 |   7446.952 |                2628458190 |   23770727
verify                               |       2705 |          3.001 |        1109.333 |     64.513 |                   3540832 |     205814
SLH_DSA_SHA3_224_PREHASH_SHA2_256F   |            |                |                 |            |                           |           
keypair                              |        744 |          3.001 |        4033.301 |    361.350 |                  12873857 |    1152975
sign                                 |         35 |          3.072 |       87765.857 |   5170.017 |                 280144835 |   16502071
verify                               |       1372 |          3.001 |        2187.195 |     98.209 |                   6981303 |     313300
SLH_DSA_SHA3_224_PREHASH_SHAKE_128S  |            |                |                 |            |                           |           
keypair                              |         27 |          3.074 |      113845.111 |   1626.902 |                 363389572 |    5192694
sign                                 |          4 |          3.568 |      892013.250 |  20089.024 |                2847276484 |   64123400
verify                               |       3551 |          3.001 |         845.034 |     55.984 |                   2697252 |     178598
SLH_DSA_SHA3_224_PREHASH_SHAKE_128F  |            |                |                 |            |                           |           
keypair                              |       1675 |          3.000 |        1791.330 |     76.297 |                   5717772 |     243470
sign                                 |         73 |          3.039 |       41629.836 |    522.682 |                 132880965 |    1668398
verify                               |       1195 |          3.001 |        2511.392 |    111.681 |                   8016190 |     356380
